ID,City,Name,Web_Lat,Web_Lon,Sys_Name,Sys_Dist,CSV_Name,CSV_Dist,Status
11073,東広島市,高美が丘,34.4573888,132.7924166,高美が丘,0.0,高美が丘,0.0,OK
11074,三原市,和木,34.5089166,132.9223055,和木,0.0,和木,0.0,OK
11075,廿日市市,原,34.3699166,132.3053888,原,0.0,原,0.0,OK
11076,廿日市市,馬の口,34.3023055,132.2348611,馬の口,0.0,馬の口,0.0,OK
11077,広島市佐伯区,杉並台,34.432,132.3005,杉並台,0.0,杉並台,0.0,OK
11078,廿日市市,浅原,34.3433055,132.1369166,浅原,0.0,浅原,0.0,OK
11079,大竹市,大竹市,34.2379722,132.2220277,大竹市,0.0,大竹市,0.0,OK
11080,廿日市市,友和,34.3586666,132.2265277,友和,0.0,友和,0.0,OK
11081,府中市,羽高,34.5605277,133.1663055,羽高,0.0,羽高,0.0,OK
11082,福山市,瀬戸,34.4835,133.3333333,瀬戸,0.0,瀬戸,0.0,OK
11083,福山市,大浦,34.3687777,133.3070833,大浦,0.0,大浦,0.0,OK
11084,福山市,南松永,34.4298055,133.2509166,南松永,0.0,南松永,0.0,OK
11085,福山市,田尻,34.4196666,133.3743055,田尻,0.0,田尻,0.0,OK
11086,福山市,古市,34.5465555,133.3879166,古市,0.0,古市,0.0,OK
11087,福山市,山野,34.6540277,133.3914722,山野,0.0,山野,0.0,OK
11088,安芸太田町,猪山,34.6619444,132.3100555,猪山,0.0,猪山,0.0,OK
11089,北広島町,高野,34.7585833,132.3778611,高野,0.0,高野,0.0,OK
11090,北広島町,川小田,34.7325,132.2861388,川小田,0.0,川小田,0.0,OK
11091,北広島町,二川,34.7177777,132.1970833,二川,0.0,二川,0.0,OK
11092,呉市,小坪,34.2079166,132.6341388,小坪,0.0,小坪,0.0,OK
11093,海田町,海田,34.3681666,132.5452222,海田,0.0,海田,0.0,OK
11094,広島市東区,福木,34.4454722,132.5360555,福木,0.0,福木,0.0,OK
11095,府中町,揚倉山,34.3948888,132.5248888,揚倉山,0.0,揚倉山,0.0,OK
11096,広島市安佐北区,堂免橋,34.5571666,132.5161388,堂免橋,0.0,堂免橋,0.0,OK
11097,広島市安佐北区,上原,34.5111944,132.5166666,上原,0.0,上原,0.0,OK
11098,広島市安佐北区,白木,34.5535277,132.6554166,白木(三日市),2974.1,白木(三日市),2974.1,DIFF
11099,尾道市,高尾,34.5179444,133.1371111,高尾,0.0,高尾,0.0,OK
11100,三次市,作木西野,34.9000833,132.7383055,作木西野,0.0,作木西野,0.0,OK
11101,三次市,ゆめランド,34.8550277,132.7976944,ゆめランド,0.0,ゆめランド,0.0,OK
11102,呉市,斎島,34.1190277,132.7933055,斎島,0.0,斎島,0.0,OK
